City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,Sucua,-2.4667,-78.1667,81.34,50,20,8.05,EC,2022-08-31 20:17:50
163,Brigantine,39.4101,-74.3646,87.21,44,20,17.27,US,2022-08-31 20:17:50
164,Touros,-5.1989,-35.4608,77.5,73,73,21.0,BR,2022-08-31 20:12:02
165,Namibe,-15.1961,12.1522,64.89,87,68,11.3,AO,2022-08-31 20:17:51
166,Leningradskiy,69.3833,178.4167,33.37,99,100,14.83,RU,2022-08-31 20:17:51
167,Iqaluit,63.7506,-68.5145,46.13,81,100,18.41,CA,2022-08-31 20:13:21
168,Shingu,33.7333,135.9833,77.25,92,100,3.56,JP,2022-08-31 20:17:52
169,Tuktoyaktuk,69.4541,-133.0374,60.8,63,20,6.91,CA,2022-08-31 20:17:52
170,Rossland,49.0831,-117.8022,92.91,17,9,2.44,CA,2022-08-31 20:16:18
171,Gamba,-2.65,10.0,74.17,86,35,11.45,GA,2022-08-31 20:17:52
172,Nanortalik,60.1432,-45.2371,41.86,74,29,13.6,GL,2022-08-31 20:09:28
173,Makakilo City,21.3469,-158.0858,83.61,58,40,10.36,US,2022-08-31 20:17:53
174,Mareeba,-17.0,145.4333,66.92,88,48,3.53,AU,2022-08-31 20:17:53
175,Henties Bay,-22.116,14.2845,57.06,92,7,5.61,NA,2022-08-31 20:17:54
176,Cidreira,-30.1811,-50.2056,62.24,75,0,15.37,BR,2022-08-31 20:17:54
177,Bafoulabe,13.8065,-10.8321,71.29,96,100,3.33,ML,2022-08-31 20:17:55
178,Isangel,-19.55,169.2667,72.91,67,93,17.16,VU,2022-08-31 20:17:55
179,Beidao,34.5686,105.8933,60.51,67,47,1.83,CN,2022-08-31 20:17:55
180,Neijiang,29.5835,105.0622,67.28,86,100,4.09,CN,2022-08-31 20:17:56
181,Cherskiy,68.75,161.3,37.56,87,100,4.21,RU,2022-08-31 20:17:56
182,Seydisehir,37.4193,31.8453,63.01,43,0,4.23,TR,2022-08-31 20:18:57
183,Port Lincoln,-34.7333,135.8667,50.31,78,74,6.51,AU,2022-08-31 20:18:57
184,Guarapari,-20.6667,-40.4975,67.89,63,38,6.35,BR,2022-08-31 20:18:58
185,Clyde River,70.4692,-68.5914,41.23,81,75,11.5,CA,2022-08-31 20:18:58
186,Upernavik,72.7868,-56.1549,39.65,91,100,20.11,GL,2022-08-31 20:18:58
187,Kampot,10.6167,104.1833,78.85,85,70,2.75,KH,2022-08-31 20:18:59
188,Sao Joao Da Barra,-21.6403,-41.0511,69.89,59,17,10.76,BR,2022-08-31 20:18:59
189,Ouesso,1.6136,16.0517,75.16,84,99,0.65,CG,2022-08-31 20:19:00
190,Mar Del Plata,-38.0023,-57.5575,57.22,51,0,11.99,AR,2022-08-31 20:19:00
191,Itaituba,-4.2761,-55.9836,87.96,62,40,5.75,BR,2022-08-31 20:19:00
192,Ribeira Grande,38.5167,-28.7,75.6,83,20,3.44,PT,2022-08-31 20:19:01
193,Tutoia,-2.7619,-42.2744,81.3,73,7,10.51,BR,2022-08-31 20:19:01
194,Delijan,33.9905,50.6838,77.0,11,0,2.59,IR,2022-08-31 20:19:02
195,Launceston,-41.45,147.1667,51.8,97,100,11.5,AU,2022-08-31 20:18:45
196,Vardo,70.3705,31.1107,39.18,81,20,9.22,NO,2022-08-31 20:09:32
197,Neustadt,49.7117,12.0872,62.98,83,100,0.0,DE,2022-08-31 20:19:02
198,Marsa Matruh,31.3525,27.2453,78.19,71,0,8.1,EG,2022-08-31 20:19:03
199,Pangkalanbuun,-2.6833,111.6167,73.4,98,46,2.62,ID,2022-08-31 20:19:03
200,Murchison,-41.8,172.3333,49.28,98,100,1.45,NZ,2022-08-31 20:19:04
201,Shetpe,44.1667,52.1167,81.88,19,0,4.41,KZ,2022-08-31 20:19:04
202,Usinsk,65.9939,57.5281,38.19,71,28,8.55,RU,2022-08-31 20:11:57
203,Araouane,18.9048,-3.5265,99.66,19,16,7.38,ML,2022-08-31 20:19:05
204,Jalu,29.0331,21.5482,83.41,38,0,14.61,LY,2022-08-31 20:19:06
205,Fortuna,40.5982,-124.1573,63.52,87,75,5.75,US,2022-08-31 20:19:06
206,Jishou,28.3167,109.7167,69.49,82,100,2.33,CN,2022-08-31 20:19:07
207,San Patricio,28.017,-97.5169,91.29,51,100,10.85,US,2022-08-31 20:19:07
208,Aripuana,-9.1667,-60.6333,99.63,18,1,2.59,BR,2022-08-31 20:19:07
209,Bubaque,11.2833,-15.8333,79.99,81,100,16.98,GW,2022-08-31 20:19:08
210,Campoverde,-8.4753,-74.8058,89.29,25,55,1.48,PE,2022-08-31 20:19:08
211,Zvishavane,-20.3267,30.0665,54.39,69,49,5.55,ZW,2022-08-31 20:19:09
212,Dakar,14.6937,-17.4441,80.73,89,40,4.61,SN,2022-08-31 20:19:09
213,Kavaratti,10.5669,72.642,79.65,83,100,23.06,IN,2022-08-31 20:19:09
214,Chapais,49.7834,-74.8492,58.78,78,100,7.31,CA,2022-08-31 20:17:46
215,Pussi,59.36,27.0497,50.49,82,100,18.03,EE,2022-08-31 20:19:10
216,Bud,39.447,-86.1758,83.75,48,0,6.87,US,2022-08-31 20:19:11
217,Faanui,-16.4833,-151.75,78.44,64,28,22.88,PF,2022-08-31 20:19:11
218,Batsfjord,70.6345,29.7185,44.53,87,75,0.0,NO,2022-08-31 20:19:12
219,Kaeo,-35.1,173.7833,54.32,90,100,4.0,NZ,2022-08-31 20:19:12
220,Ballina,-28.8667,153.5667,57.02,93,41,7.18,AU,2022-08-31 20:19:12
221,Parit Raja,1.8681,103.1124,75.34,94,54,3.24,MY,2022-08-31 20:19:13
222,Sari,36.5633,53.0601,78.3,68,0,3.24,IR,2022-08-31 20:19:13
223,Poum,-20.2333,164.0167,73.09,78,76,18.68,NC,2022-08-31 20:19:14
224,Constitucion,-35.3333,-72.4167,54.45,83,100,9.33,CL,2022-08-31 20:18:09
225,Arman,59.7,150.1667,51.75,82,8,3.91,RU,2022-08-31 20:19:14
